column,USEFUL,type
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_estrogen_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_immunohistochemistry_er_pos_cell_score,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_immunohistochemistry_er_positive_finding_scale_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_immunohistochemistry_pr_pos_cell_score,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_immunohistochemistry_progesterone_receptor_positive_finding_scale_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_pos_finding_her2_erbb2_other_measure_scale_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_pos_finding_other_scale_measurement_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_pos_finding_progesterone_receptor_other_measure_scale_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_progesterone_receptor_detection_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_progesterone_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.new_neoplasm_event_occurrence_anatomic_site,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.new_neoplasm_event_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.new_neoplasm_occurrence_anatomic_site_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event-4.pos_finding_metastatic_breast_carcinoma_estrogen_receptor_other_measuremenet_scale_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.additional_pharmaceutical_therapy,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.additional_radiation_therapy,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.days_to_new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.days_to_new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_estrogen_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_er_pos_cell_score,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_er_positive_finding_scale_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_pr_pos_cell_score,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_progesterone_receptor_positive_finding_scale_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_pos_finding_her2_erbb2_other_measure_scale_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_pos_finding_other_scale_measurement_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_pos_finding_progesterone_receptor_other_measure_scale_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_progesterone_receptor_detection_method_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_progesterone_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.new_neoplasm_event_occurrence_anatomic_site,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.new_neoplasm_event_type,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.new_neoplasm_occurrence_anatomic_site_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event.pos_finding_metastatic_breast_carcinoma_estrogen_receptor_other_measuremenet_scale_text,N,
patient.follow_ups.follow_up-3.new_tumor_events.new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up-3.person_neoplasm_cancer_status,N,
patient.follow_ups.follow_up-3.postoperative_rx_tx,N,
patient.follow_ups.follow_up-3.radiation_therapy,N,
patient.follow_ups.follow_up-3.vital_status,N,
patient.follow_ups.follow_up-3.year_of_form_completion,N,
patient.follow_ups.follow_up-4.bcr_followup_barcode,N,
patient.follow_ups.follow_up-4.bcr_followup_uuid,N,
patient.follow_ups.follow_up-4.day_of_form_completion,N,
patient.follow_ups.follow_up-4.days_to_death,N,
patient.follow_ups.follow_up-4.days_to_last_followup,N,
patient.follow_ups.follow_up-4.lost_follow_up,N,
patient.follow_ups.follow_up-4.month_of_form_completion,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.additional_pharmaceutical_therapy,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.additional_radiation_therapy,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.days_to_new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.days_to_new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_estrogen_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_er_pos_cell_score,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_er_positive_finding_scale_type,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_pr_pos_cell_score,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_immunohistochemistry_progesterone_receptor_positive_finding_scale_type,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_pos_finding_her2_erbb2_other_measure_scale_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_pos_finding_other_scale_measurement_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_pos_finding_progesterone_receptor_other_measure_scale_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_progesterone_receptor_detection_method_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_progesterone_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.metastatic_breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.new_neoplasm_event_occurrence_anatomic_site,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.new_neoplasm_event_type,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.new_neoplasm_occurrence_anatomic_site_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event.pos_finding_metastatic_breast_carcinoma_estrogen_receptor_other_measuremenet_scale_text,N,
patient.follow_ups.follow_up-4.new_tumor_events.new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up-4.person_neoplasm_cancer_status,N,
patient.follow_ups.follow_up-4.postoperative_rx_tx,N,
patient.follow_ups.follow_up-4.radiation_therapy,N,
patient.follow_ups.follow_up-4.vital_status,N,
patient.follow_ups.follow_up-4.year_of_form_completion,N,
patient.follow_ups.follow_up.additional_pharmaceutical_therapy,N,
patient.follow_ups.follow_up.additional_radiation_therapy,N,
patient.follow_ups.follow_up.additional_surgery_locoregional_procedure,N,
patient.follow_ups.follow_up.additional_surgery_metastatic_procedure,N,
patient.follow_ups.follow_up.bcr_followup_barcode,N,
patient.follow_ups.follow_up.bcr_followup_uuid,N,
patient.follow_ups.follow_up.breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up.breast_carcinoma_immunohistochemistry_pos_cell_score,N,
patient.follow_ups.follow_up.breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up.day_of_form_completion,N,
patient.follow_ups.follow_up.days_to_additional_surgery_locoregional_procedure,N,
patient.follow_ups.follow_up.days_to_additional_surgery_metastatic_procedure,N,
patient.follow_ups.follow_up.days_to_death,N,
patient.follow_ups.follow_up.days_to_last_followup,N,
patient.follow_ups.follow_up.days_to_last_known_alive,N,
patient.follow_ups.follow_up.days_to_new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up.er_detection_method_text,N,
patient.follow_ups.follow_up.er_level_cell_percentage_category,N,
patient.follow_ups.follow_up.fluorescence_in_situ_hybridization_diagnostic_procedure_chromosome_17_signal_result_range,N,
patient.follow_ups.follow_up.followup_case_report_form_submission_reason,N,
patient.follow_ups.follow_up.her2_and_centromere_17_positive_finding_other_measurement_scale_text,N,
patient.follow_ups.follow_up.her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up.her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up.her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up.her2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up.her2_neu_and_centromere_17_copy_number_analysis_input_total_number_count,N,
patient.follow_ups.follow_up.her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count,N,
patient.follow_ups.follow_up.her2_neu_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up.her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up.her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up.immunohistochemistry_positive_cell_score,N,
patient.follow_ups.follow_up.lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up.lab_procedure_her2_neu_in_situ_hybrid_outcome_type,N,
patient.follow_ups.follow_up.lost_follow_up,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_estrogen_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_immunohistochemistry_er_pos_cell_score,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_immunohistochemistry_er_positive_finding_scale_type,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_immunohistochemistry_pr_pos_cell_score,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_immunohistochemistry_progesterone_receptor_positive_finding_scale_type,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_pos_finding_her2_erbb2_other_measure_scale_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_pos_finding_other_scale_measurement_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_pos_finding_progesterone_receptor_other_measure_scale_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_progesterone_receptor_detection_method_text,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_progesterone_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up.metastatic_breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up.month_of_form_completion,N,
patient.follow_ups.follow_up.new_neoplasm_event_occurrence_anatomic_site,N,
patient.follow_ups.follow_up.new_neoplasm_event_type,N,
patient.follow_ups.follow_up.new_neoplasm_occurrence_anatomic_site_text,N,
patient.follow_ups.follow_up.new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.additional_pharmaceutical_therapy,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.additional_radiation_therapy,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.days_to_new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.days_to_new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_estrogen_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_immunohistochemistry_er_pos_cell_score,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_immunohistochemistry_er_positive_finding_scale_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_immunohistochemistry_pr_pos_cell_score,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_immunohistochemistry_progesterone_receptor_positive_finding_scale_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_pos_finding_her2_erbb2_other_measure_scale_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_pos_finding_other_scale_measurement_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_pos_finding_progesterone_receptor_other_measure_scale_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_progesterone_receptor_detection_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_progesterone_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.metastatic_breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.new_neoplasm_event_occurrence_anatomic_site,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.new_neoplasm_event_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.new_neoplasm_occurrence_anatomic_site_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-2.pos_finding_metastatic_breast_carcinoma_estrogen_receptor_other_measuremenet_scale_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.additional_pharmaceutical_therapy,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.additional_radiation_therapy,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.days_to_new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.days_to_new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_estrogen_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_estrogen_receptor_status,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_fluorescence_in_situ_hybridization_diagnostic_proc_centromere_17_signal_result_range,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_her2_erbb_method_calculation_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_her2_erbb_pos_finding_cell_percent_category,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_her2_neu_chromosone_17_signal_ratio_value,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_immunohistochemistry_er_pos_cell_score,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_immunohistochemistry_er_positive_finding_scale_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_immunohistochemistry_pr_pos_cell_score,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_immunohistochemistry_progesterone_receptor_positive_finding_scale_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_lab_proc_her2_neu_immunohistochemistry_receptor_status,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_lab_proc_her2_neu_in_situ_hybridization_outcome_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_pos_finding_her2_erbb2_other_measure_scale_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_pos_finding_other_scale_measurement_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_pos_finding_progesterone_receptor_other_measure_scale_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_progesterone_receptor_detection_method_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_progesterone_receptor_level_cell_percent_category,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.metastatic_breast_carcinoma_progesterone_receptor_status,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.new_neoplasm_event_occurrence_anatomic_site,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.new_neoplasm_event_type,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.new_neoplasm_occurrence_anatomic_site_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-3.pos_finding_metastatic_breast_carcinoma_estrogen_receptor_other_measuremenet_scale_text,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.additional_pharmaceutical_therapy,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.additional_radiation_therapy,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.days_to_new_tumor_event_additional_surgery_procedure,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.days_to_new_tumor_event_after_initial_treatment,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.her2_neu_and_centromere_17_copy_number_metastatic_breast_carcinoma_analysis_input_total_number_count,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.her2_neu_metastatic_breast_carcinoma_copy_analysis_input_total_number,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_erbb2_immunohistochemistry_level_result,N,
patient.follow_ups.follow_up.new_tumor_events.new_tumor_event-4.metastatic_breast_carcinoma_estrogen_receptor_detection_method_text,N,
